horizon_d,alpha_sentiment,alpha_technical,mean_ic,ic_tstat,n_days,top10_hit_rate,top10_mean_ret
5,0.075,0.925,0.030342233412551805,0.7754624015171683,40,0.19999999999999998,-0.00030998916856543113
5,0.1,0.9,0.035342488073374825,0.9237872067846455,40,0.2,0.001318717093548002
5,0.125,0.875,0.02961868355508613,0.7330751038514456,40,0.20256410256410257,0.0022984125183631975
5,0.15,0.85,0.03131247041211845,0.7803166373640229,40,0.20256410256410257,0.003686284530764905
5,0.175,0.825,0.0354423346097824,0.8941477084833781,40,0.20256410256410257,0.003954706046107346
5,0.2,0.8,0.04201470932326737,1.0722604897024648,40,0.20256410256410257,0.004223830964266363
5,0.225,0.775,0.04414212812948178,1.125306835627638,40,0.19999999999999998,0.0037763393255764123
5,0.25,0.75,0.04806763414398727,1.225878575865729,40,0.19999999999999998,0.004699756799961575
5,0.275,0.725,0.05035491721850068,1.291983153649115,40,0.19999999999999998,0.005744960244390686
5,0.3,0.7,0.05191756178441805,1.3267384039781116,40,0.19999999999999998,0.005817842928624517
5,0.325,0.675,0.050924473626378045,1.2260939540039262,40,0.19743589743589743,0.0063466315173909904
5,0.35,0.65,0.050587150937632865,1.2172836861858038,40,0.19743589743589743,0.007128162764974873
5,0.375,0.625,0.052451111936186935,1.263543361392951,40,0.19487179487179487,0.006314507685342579
5,0.4,0.6,0.05478876878724089,1.3243765922473711,40,0.18974358974358976,0.005916626636005602
5,0.425,0.575,0.058138425967059114,1.412996722924818,40,0.19230769230769232,0.007984992758149397
5,0.45,0.55,0.06162086353334909,1.4964602459662273,40,0.18974358974358976,0.00738460689232904
5,0.475,0.525,0.06063830132489974,1.473707904678423,40,0.1871794871794872,0.006605616159206516
5,0.5,0.5,0.06015226355893606,1.4554106280607753,40,0.17692307692307693,0.003482485440899589
5,0.525,0.475,0.06196094329971191,1.506774762071401,40,0.1794871794871795,0.005136180207187831
5,0.55,0.45,0.0659717244304268,1.6089118623227856,40,0.17435897435897438,0.004084994169900916
5,0.575,0.425,0.06793396343441352,1.6436775866009323,40,0.17435897435897438,0.005620745477936356
5,0.6,0.4,0.06818894846223401,1.64375947773742,40,0.17692307692307693,0.0046944949860837654
5,0.625,0.375,0.07205499668877571,1.7844669461922273,40,0.1794871794871795,0.006385116178265539
5,0.65,0.35,0.07742675967908294,1.9347290850722767,40,0.17435897435897438,0.006942216756240284
5,0.675,0.325,0.07867482522946394,1.9886645126403881,40,0.17435897435897438,0.005840926576550259
5,0.7,0.3,0.07762421756425131,1.948745946553002,40,0.17435897435897438,0.006082527910069548
5,0.725,0.275,0.07637556822761835,1.9561265522843734,40,0.17179487179487182,0.00399103362844878
5,0.75,0.25,0.07511580148756256,1.9045777345278714,40,0.1692307692307692,0.003454840128955011
5,0.775,0.225,0.07700062324083136,1.9415020456400567,40,0.16666666666666666,0.002704611257926996
5,0.8,0.2,0.07605799196426725,1.8576792102486834,40,0.158974358974359,0.00048176358619761813
5,0.825,0.175,0.07574823547678854,1.8231587700695513,40,0.158974358974359,0.0002676589687009406
5,0.85,0.15,0.07165912944894878,1.7168253209263276,40,0.158974358974359,-0.0006904802552839637
5,0.875,0.125,0.06967597867749924,1.6468973075840936,40,0.16153846153846155,0.001135259861317234
5,0.9,0.1,0.06500792425084409,1.5100851388204188,40,0.16153846153846155,0.002428118183242517
5,0.925,0.075,0.060708383977780375,1.3916905346241635,40,0.158974358974359,0.0007975984289904378
5,0.95,0.05,0.061766404478206846,1.402264184349777,40,0.15384615384615385,-0.001440944924357677
10,0.05,0.95,0.011209158299422609,0.24501169068373452,34,0.24242424242424243,0.00940200686727527
10,0.075,0.925,0.01439332516461074,0.3143744320604462,34,0.2333333333333333,0.007467218461808145
10,0.1,0.9,0.016088403078976417,0.3472481195716526,34,0.2333333333333333,0.010128272287745202
10,0.125,0.875,0.016274973728385347,0.35137017105539214,34,0.2333333333333333,0.009307833822855863
10,0.15,0.85,0.0191951177105388,0.4169110244342015,34,0.24545454545454545,0.011769930600890384
10,0.175,0.825,0.022448086628480374,0.4858890665652903,34,0.24545454545454545,0.012074310134277882
10,0.2,0.8,0.028775970979226677,0.6417655174393364,34,0.24242424242424243,0.011403101526126296
10,0.225,0.775,0.03297128564747906,0.7295252748226061,34,0.24242424242424243,0.013287164978820109
10,0.25,0.75,0.04147915155717973,0.9269775479495134,34,0.24242424242424243,0.014897527770130627
